"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2022 March","Petrol - unleaded per litre","Euro","1.933"
"National Average Price","2022 April","Diesel per litre","Euro","1.891"
"National Average Price","2022 April","Petrol - unleaded per litre","Euro","1.809"
"National Average Price","2022 May","Diesel per litre","Euro","1.929"
"National Average Price","2022 May","Petrol - unleaded per litre","Euro","1.858"
"National Average Price","2022 June","Diesel per litre","Euro","2.093"
"National Average Price","2022 June","Petrol - unleaded per litre","Euro","2.145"
"National Average Price","2022 July","Diesel per litre","Euro","2.07"
"National Average Price","2022 July","Petrol - unleaded per litre","Euro","2.081"
"National Average Price","2022 August","Diesel per litre","Euro","1.928"
"National Average Price","2022 August","Petrol - unleaded per litre","Euro","1.908"
"National Average Price","2022 September","Diesel per litre","Euro","1.919"
"National Average Price","2022 September","Petrol - unleaded per litre","Euro","1.799"
"National Average Price","2022 October","Diesel per litre","Euro","1.95"
"National Average Price","2022 October","Petrol - unleaded per litre","Euro","1.796"
"National Average Price","2022 November","Diesel per litre","Euro","2.013"
"National Average Price","2022 November","Petrol - unleaded per litre","Euro","1.811"
"National Average Price","2022 December","Diesel per litre","Euro","1.726"
"National Average Price","2022 December","Petrol - unleaded per litre","Euro","1.593"
